id,firstName,lastName,birthDate,sex,studentCardNumber
44,Zbigniew,Wiśniewski,1997-02-09,male,72655
45,Jan,Wiśniewski,1997-04-07,male,72656
46,Kamil,Wiśniewski,1995-11-02,male,72657
47,Damian,Wiśniewski,1996-09-26,male,72658
48,Mariusz,Wiśniewski,1996-11-11,male,72659
49,Stefan,Wiśniewski,1995-01-18,male,72660
50,Tomasz,Wiśniewski,1995-06-22,male,72661
51,Paulina,Wiśniewska,1996-09-22,female,72662
52,Monika,Wiśniewska,1996-04-13,female,72663
53,Aleksandra,Wiśniewska,1995-09-21,female,72664
54,Kinga,Wiśniewska,1996-07-20,female,72665
55,Karolina,Wiśniewska,1997-11-14,female,72666
56,Joanna,Wiśniewska,1995-05-28,female,72667
57,Martyna,Wiśniewska,1996-02-12,female,72668
58,Dominika,Wiśniewska,1995-08-02,female,72669
59,Sylwia,Wiśniewska,1997-06-04,female,72670
60,Danuta,Wiśniewska,1996-11-18,female,72671
61,Piotr,Wójcik,1997-08-03,male,72672
62,Paweł,Wójcik,1997-04-30,male,72673
63,Adam,Wójcik,1997-04-16,male,72674
64,Zbigniew,Wójcik,1997-01-01,male,72675
65,Jan,Wójcik,1996-05-10,male,72676
66,Kamil,Wójcik,1997-12-15,male,72677
67,Damian,Wójcik,1995-04-29,male,72678
68,Mariusz,Wójcik,1995-11-21,male,72679
69,Stefan,Wójcik,1996-09-13,male,72680
70,Tomasz,Wójcik,1997-12-14,male,72681
71,Paulina,Wójcik,1996-06-24,female,72682
72,Monika,Wójcik,1997-01-16,female,72683
73,Aleksandra,Wójcik,1997-03-28,female,72684
74,Kinga,Wójcik,1996-09-13,female,72685
75,Karolina,Wójcik,1997-10-22,female,72686
76,Joanna,Wójcik,1996-07-27,female,72687
77,Martyna,Wójcik,1996-02-15,female,72688
78,Dominika,Wójcik,1996-03-13,female,72689
79,Sylwia,Wójcik,1995-09-24,female,72690
80,Danuta,Wójcik,1997-01-06,female,72691
81,Piotr,Kowalczyk,1995-01-15,male,72692
82,Paweł,Kowalczyk,1997-02-05,male,72693
83,Adam,Kowalczyk,1995-09-16,male,72694
84,Zbigniew,Kowalczyk,1995-09-11,male,72695
85,Jan,Kowalczyk,1997-11-20,male,72696
86,Kamil,Kowalczyk,1995-06-05,male,72697
87,Damian,Kowalczyk,1995-11-15,male,72698
88,Mariusz,Kowalczyk,1995-08-21,male,72699
89,Stefan,Kowalczyk,1995-04-12,male,72700
90,Tomasz,Kowalczyk,1995-11-17,male,72701
91,Paulina,Kowalczyk,1997-01-08,female,72702
92,Monika,Kowalczyk,1995-02-22,female,72703
93,Aleksandra,Kowalczyk,1997-12-25,female,72704
94,Kinga,Kowalczyk,1997-08-09,female,72705
95,Karolina,Kowalczyk,1995-09-13,female,72706
96,Joanna,Kowalczyk,1995-04-11,female,72707
97,Martyna,Kowalczyk,1995-08-13,female,72708
98,Dominika,Kowalczyk,1997-09-10,female,72709
99,Sylwia,Kowalczyk,1995-09-23,female,72710
100,Danuta,Kowalczyk,1995-05-20,female,72711
101,Piotr,Kamiński,1997-03-26,male,72712
102,Paweł,Kamiński,1996-02-14,male,72713
103,Adam,Kamiński,1995-01-27,male,72714
104,Zbigniew,Kamiński,1997-12-30,male,72715
105,Jan,Kamiński,1995-07-17,male,72716
106,Kamil,Kamiński,1995-07-11,male,72717
107,Damian,Kamiński,1997-06-08,male,72718
108,Mariusz,Kamiński,1997-06-09,male,72719
109,Stefan,Kamiński,1997-04-02,male,72720
110,Tomasz,Kamiński,1997-11-16,male,72721
111,Paulina,Kamińska,1996-11-08,female,72722
112,Monika,Kamińska,1995-04-06,female,72723
113,Aleksandra,Kamińska,1995-04-09,female,72724
114,Kinga,Kamińska,1995-07-16,female,72725
115,Karolina,Kamińska,1995-12-02,female,72726
116,Joanna,Kamińska,1995-07-22,female,72727
117,Martyna,Kamińska,1996-12-21,female,72728
118,Dominika,Kamińska,1996-11-19,female,72729
119,Sylwia,Kamińska,1995-01-18,female,72730
120,Danuta,Kamińska,1995-07-30,female,72731
121,Piotr,Lewandowski,1995-02-10,male,72732
122,Paweł,Lewandowski,1997-06-26,male,72733
123,Adam,Lewandowski,1997-07-31,male,72734
124,Zbigniew,Lewandowski,1996-09-21,male,72735
125,Jan,Lewandowski,1996-08-15,male,72736
126,Kamil,Lewandowski,1997-05-16,male,72737
127,Damian,Lewandowski,1995-07-04,male,72738
128,Mariusz,Lewandowski,1997-03-16,male,72739
129,Stefan,Lewandowski,1996-05-11,male,72740
130,Tomasz,Lewandowski,1996-08-03,male,72741
131,Paulina,Lewandowska,1996-05-28,female,72742
132,Monika,Lewandowska,1996-04-28,female,72743
133,Aleksandra,Lewandowska,1995-12-29,female,72744
134,Kinga,Lewandowska,1997-01-20,female,72745
135,Karolina,Lewandowska,1996-08-05,female,72746
136,Joanna,Lewandowska,1997-11-17,female,72747
137,Martyna,Lewandowska,1995-10-26,female,72748
138,Dominika,Lewandowska,1997-06-07,female,72749
139,Sylwia,Lewandowska,1996-05-29,female,72750
140,Danuta,Lewandowska,1995-09-28,female,72751
141,Piotr,Zieliński,1996-05-06,male,72752
142,Paweł,Zieliński,1997-02-21,male,72753
143,Adam,Zieliński,1997-12-23,male,72754
144,Zbigniew,Zieliński,1996-06-15,male,72755
145,Jan,Zieliński,1995-11-13,male,72756
146,Kamil,Zieliński,1997-05-28,male,72757
147,Damian,Zieliński,1996-07-12,male,72758
148,Mariusz,Zieliński,1997-08-15,male,72759
149,Stefan,Zieliński,1997-12-02,male,72760
150,Tomasz,Zieliński,1995-06-01,male,72761
151,Paulina,Zielińska,1996-07-01,female,72762
152,Monika,Zielińska,1996-01-31,female,72763
153,Aleksandra,Zielińska,1995-04-09,female,72764
154,Kinga,Zielińska,1995-03-14,female,72765
155,Karolina,Zielińska,1997-08-30,female,72766
156,Joanna,Zielińska,1997-05-21,female,72767
157,Martyna,Zielińska,1996-02-15,female,72768
158,Dominika,Zielińska,1996-11-24,female,72769
159,Sylwia,Zielińska,1995-12-29,female,72770
160,Danuta,Zielińska,1997-10-14,female,72771
161,Piotr,Szymański,1995-01-15,male,72772
162,Paweł,Szymański,1996-11-17,male,72773
163,Adam,Szymański,1995-02-14,male,72774
164,Zbigniew,Szymański,1995-07-31,male,72775
165,Jan,Szymański,1997-08-19,male,72776
166,Kamil,Szymański,1996-08-28,male,72777
167,Damian,Szymański,1995-03-16,male,72778
168,Mariusz,Szymański,1996-03-16,male,72779
169,Stefan,Szymański,1996-10-31,male,72780
170,Tomasz,Szymański,1996-10-14,male,72781
171,Paulina,Szymańska,1995-12-27,female,72782
172,Monika,Szymańska,1995-07-29,female,72783
173,Aleksandra,Szymańska,1997-08-20,female,72784
174,Kinga,Szymańska,1996-08-05,female,72785
175,Karolina,Szymańska,1997-10-25,female,72786
176,Joanna,Szymańska,1995-04-25,female,72787
177,Martyna,Szymańska,1997-09-19,female,72788
178,Dominika,Szymańska,1996-10-07,female,72789
179,Sylwia,Szymańska,1996-05-15,female,72790
180,Danuta,Szymańska,1997-07-02,female,72791
181,Piotr,Woźniak,1997-06-14,male,72792
182,Paweł,Woźniak,1996-07-09,male,72793
183,Adam,Woźniak,1995-07-28,male,72794
184,Zbigniew,Woźniak,1997-09-12,male,72795
185,Jan,Woźniak,1997-02-11,male,72796
186,Kamil,Woźniak,1996-05-14,male,72797
187,Damian,Woźniak,1996-08-30,male,72798
188,Mariusz,Woźniak,1995-09-19,male,72799
189,Stefan,Woźniak,1996-11-17,male,72800
190,Tomasz,Woźniak,1996-03-12,male,72801
191,Paulina,Woźniak,1996-11-13,female,72802
192,Monika,Woźniak,1997-05-05,female,72803
193,Aleksandra,Woźniak,1996-10-16,female,72804
194,Kinga,Woźniak,1995-06-06,female,72805
195,Karolina,Woźniak,1995-12-14,female,72806
196,Joanna,Woźniak,1995-12-27,female,72807
197,Martyna,Woźniak,1995-04-19,female,72808
198,Dominika,Woźniak,1997-02-13,female,72809
199,Sylwia,Woźniak,1996-04-16,female,72810
200,Danuta,Woźniak,1996-06-26,female,72811
201,Piotr,Dąbrowski,1996-03-09,male,72812
202,Paweł,Dąbrowski,1995-07-12,male,72813
203,Adam,Dąbrowski,1997-02-22,male,72814
204,Zbigniew,Dąbrowski,1995-05-21,male,72815
205,Jan,Dąbrowski,1997-11-06,male,72816
206,Kamil,Dąbrowski,1997-04-07,male,72817
207,Damian,Dąbrowski,1996-02-22,male,72818
208,Mariusz,Dąbrowski,1997-11-16,male,72819
209,Stefan,Dąbrowski,1995-01-05,male,72820
210,Tomasz,Dąbrowski,1996-06-25,male,72821
211,Paulina,Dąbrowska,1996-02-06,female,72822
212,Monika,Dąbrowska,1997-06-21,female,72823
213,Aleksandra,Dąbrowska,1995-03-24,female,72824
214,Kinga,Dąbrowska,1997-02-16,female,72825
215,Karolina,Dąbrowska,1996-01-15,female,72826
216,Joanna,Dąbrowska,1996-12-04,female,72827
217,Martyna,Dąbrowska,1997-10-13,female,72828
218,Dominika,Dąbrowska,1996-06-27,female,72829
219,Sylwia,Dąbrowska,1997-06-21,female,72830
220,Danuta,Dąbrowska,1996-01-07,female,72831
221,Piotr,Kozłowski,1996-05-13,male,72832
222,Paweł,Kozłowski,1995-06-21,male,72833
223,Adam,Kozłowski,1997-03-08,male,72834
224,Zbigniew,Kozłowski,1997-07-30,male,72835
225,Jan,Kozłowski,1996-06-21,male,72836
226,Kamil,Kozłowski,1997-08-25,male,72837
227,Damian,Kozłowski,1995-07-06,male,72838
228,Mariusz,Kozłowski,1997-04-14,male,72839
229,Stefan,Kozłowski,1996-03-15,male,72840
230,Tomasz,Kozłowski,1997-10-05,male,72841
231,Paulina,Kozłowska,1995-09-22,female,72842
232,Monika,Kozłowska,1996-04-06,female,72843
233,Aleksandra,Kozłowska,1997-08-29,female,72844
234,Kinga,Kozłowska,1996-10-02,female,72845
235,Karolina,Kozłowska,1995-05-15,female,72846
236,Joanna,Kozłowska,1996-12-05,female,72847
237,Martyna,Kozłowska,1997-12-09,female,72848
238,Dominika,Kozłowska,1996-05-05,female,72849
239,Sylwia,Kozłowska,1995-05-01,female,72850
240,Danuta,Kozłowska,1995-08-22,female,72851
241,Piotr,Grabowski,1996-08-18,male,72852
242,Paweł,Grabowski,1997-01-13,male,72853
243,Adam,Grabowski,1995-01-24,male,72854
244,Zbigniew,Grabowski,1997-09-24,male,72855
245,Jan,Grabowski,1997-12-17,male,72856
246,Kamil,Grabowski,1996-09-27,male,72857
247,Damian,Grabowski,1995-03-11,male,72858
248,Mariusz,Grabowski,1995-07-25,male,72859
249,Stefan,Grabowski,1995-07-01,male,72860
250,Tomasz,Grabowski,1995-01-13,male,72861
251,Paulina,Grabowska,1995-07-28,female,72862
252,Monika,Grabowska,1995-03-27,female,72863
253,Aleksandra,Grabowska,1995-01-07,female,72864
254,Kinga,Grabowska,1997-03-20,female,72865
255,Karolina,Grabowska,1995-11-06,female,72866
256,Joanna,Grabowska,1996-03-20,female,72867
257,Martyna,Grabowska,1995-08-11,female,72868
258,Dominika,Grabowska,1996-02-12,female,72869
259,Sylwia,Grabowska,1996-01-28,female,72870
260,Danuta,Grabowska,1997-12-24,female,72871
261,Piotr,Jankowski,1996-03-21,male,72872
262,Paweł,Jankowski,1995-01-08,male,72873
263,Adam,Jankowski,1995-05-29,male,72874
264,Zbigniew,Jankowski,1997-09-25,male,72875
265,Jan,Jankowski,1997-07-18,male,72876
266,Kamil,Jankowski,1995-12-08,male,72877
267,Damian,Jankowski,1995-11-07,male,72878
268,Mariusz,Jankowski,1997-02-27,male,72879
269,Stefan,Jankowski,1995-05-10,male,72880
270,Tomasz,Jankowski,1995-01-03,male,72881
271,Paulina,Jankowska,1996-07-09,female,72882
272,Monika,Jankowska,1996-03-13,female,72883
273,Aleksandra,Jankowska,1997-07-02,female,72884
274,Kinga,Jankowska,1995-08-11,female,72885
275,Karolina,Jankowska,1996-08-25,female,72886
276,Joanna,Jankowska,1995-05-27,female,72887
277,Martyna,Jankowska,1996-02-08,female,72888
278,Dominika,Jankowska,1997-11-18,female,72889
279,Sylwia,Jankowska,1996-03-17,female,72890
280,Danuta,Jankowska,1995-01-01,female,72891
281,Piotr,Mazur,1996-02-13,male,72892
282,Paweł,Mazur,1996-01-04,male,72893
283,Adam,Mazur,1995-02-12,male,72894
284,Zbigniew,Mazur,1995-12-01,male,72895
285,Jan,Mazur,1996-01-06,male,72896
286,Kamil,Mazur,1997-07-12,male,72897
287,Damian,Mazur,1997-12-16,male,72898
288,Mariusz,Mazur,1997-09-26,male,72899
289,Stefan,Mazur,1995-10-19,male,72900
290,Tomasz,Mazur,1997-10-01,male,72901
291,Paulina,Mazur,1997-04-17,female,72902
292,Monika,Mazur,1995-09-19,female,72903
293,Aleksandra,Mazur,1996-02-22,female,72904
294,Kinga,Mazur,1996-05-07,female,72905
295,Karolina,Mazur,1997-01-05,female,72906
296,Joanna,Mazur,1996-05-27,female,72907
297,Martyna,Mazur,1997-10-03,female,72908
298,Dominika,Mazur,1997-07-09,female,72909
299,Sylwia,Mazur,1997-07-28,female,72910
300,Danuta,Mazur,1995-03-05,female,72911
301,Piotr,Wojciechowski,1996-01-24,male,72912
302,Paweł,Wojciechowski,1995-06-17,male,72913
303,Adam,Wojciechowski,1995-08-10,male,72914
304,Zbigniew,Wojciechowski,1995-10-18,male,72915
305,Jan,Wojciechowski,1996-05-24,male,72916
306,Kamil,Wojciechowski,1995-07-10,male,72917
307,Damian,Wojciechowski,1997-04-08,male,72918
308,Mariusz,Wojciechowski,1997-02-23,male,72919
309,Stefan,Wojciechowski,1996-08-03,male,72920
310,Tomasz,Wojciechowski,1997-07-02,male,72921
311,Paulina,Wojciechowska,1995-04-02,female,72922
312,Monika,Wojciechowska,1995-07-09,female,72923
313,Aleksandra,Wojciechowska,1996-08-08,female,72924
314,Kinga,Wojciechowska,1997-09-27,female,72925
315,Karolina,Wojciechowska,1996-11-16,female,72926
316,Joanna,Wojciechowska,1995-08-18,female,72927
317,Martyna,Wojciechowska,1996-02-27,female,72928
318,Dominika,Wojciechowska,1995-05-04,female,72929
319,Sylwia,Wojciechowska,1997-06-16,female,72930
320,Danuta,Wojciechowska,1997-10-10,female,72931
321,Piotr,Kwiatkowski,1996-12-02,male,72932
322,Paweł,Kwiatkowski,1997-06-30,male,72933
323,Adam,Kwiatkowski,1996-12-09,male,72934
324,Zbigniew,Kwiatkowski,1997-11-21,male,72935
325,Jan,Kwiatkowski,1996-03-25,male,72936
326,Kamil,Kwiatkowski,1997-09-03,male,72937
327,Damian,Kwiatkowski,1997-06-13,male,72938
328,Mariusz,Kwiatkowski,1995-11-24,male,72939
329,Stefan,Kwiatkowski,1997-02-26,male,72940
330,Tomasz,Kwiatkowski,1997-07-18,male,72941
331,Paulina,Kwiatkowska,1997-02-27,female,72942
332,Monika,Kwiatkowska,1995-04-30,female,72943
333,Aleksandra,Kwiatkowska,1996-03-05,female,72944
334,Kinga,Kwiatkowska,1995-08-25,female,72945
335,Karolina,Kwiatkowska,1996-02-27,female,72946
336,Joanna,Kwiatkowska,1997-10-16,female,72947
337,Martyna,Kwiatkowska,1995-06-21,female,72948
338,Dominika,Kwiatkowska,1997-05-04,female,72949
339,Sylwia,Kwiatkowska,1995-04-12,female,72950
340,Danuta,Kwiatkowska,1996-12-18,female,72951
341,Piotr,Krawczyk,1996-03-17,male,72952
342,Paweł,Krawczyk,1995-01-10,male,72953
343,Adam,Krawczyk,1996-07-28,male,72954
344,Zbigniew,Krawczyk,1996-08-23,male,72955
345,Jan,Krawczyk,1995-01-09,male,72956
346,Kamil,Krawczyk,1997-01-27,male,72957
347,Damian,Krawczyk,1997-01-13,male,72958
348,Mariusz,Krawczyk,1996-05-07,male,72959
349,Stefan,Krawczyk,1995-09-20,male,72960
350,Tomasz,Krawczyk,1997-11-09,male,72961
351,Paulina,Krawczyk,1995-05-07,female,72962
352,Monika,Krawczyk,1997-09-02,female,72963
353,Aleksandra,Krawczyk,1996-12-25,female,72964
354,Kinga,Krawczyk,1997-02-21,female,72965
355,Karolina,Krawczyk,1997-03-31,female,72966
356,Joanna,Krawczyk,1997-01-13,female,72967
357,Martyna,Krawczyk,1995-11-29,female,72968
358,Dominika,Krawczyk,1996-01-23,female,72969
359,Sylwia,Krawczyk,1996-06-25,female,72970
360,Danuta,Krawczyk,1997-05-31,female,72971
361,Piotr,Kaczmarek,1995-08-05,male,72972
362,Paweł,Kaczmarek,1995-01-25,male,72973
363,Adam,Kaczmarek,1997-07-08,male,72974
364,Zbigniew,Kaczmarek,1996-01-02,male,72975
365,Jan,Kaczmarek,1996-05-16,male,72976
366,Kamil,Kaczmarek,1997-07-07,male,72977
367,Damian,Kaczmarek,1996-08-31,male,72978
368,Mariusz,Kaczmarek,1996-03-12,male,72979
369,Stefan,Kaczmarek,1997-01-28,male,72980
370,Tomasz,Kaczmarek,1995-02-14,male,72981
371,Paulina,Kaczmarek,1996-09-06,female,72982
372,Monika,Kaczmarek,1995-04-16,female,72983
373,Aleksandra,Kaczmarek,1996-03-06,female,72984
374,Kinga,Kaczmarek,1996-01-06,female,72985
375,Karolina,Kaczmarek,1996-12-25,female,72986
376,Joanna,Kaczmarek,1996-04-10,female,72987
377,Martyna,Kaczmarek,1995-09-19,female,72988
378,Dominika,Kaczmarek,1997-05-01,female,72989
379,Sylwia,Kaczmarek,1997-05-01,female,72990
380,Danuta,Kaczmarek,1997-10-12,female,72991
381,Piotr,Wysocki,1997-06-06,male,72992
382,Paweł,Wysocki,1995-02-26,male,72993
383,Adam,Wysocki,1995-04-09,male,72994
384,Zbigniew,Wysocki,1995-12-20,male,72995
385,Jan,Wysocki,1997-03-24,male,72996
386,Kamil,Wysocki,1997-01-25,male,72997
387,Damian,Wysocki,1995-02-10,male,72998
388,Mariusz,Wysocki,1996-07-29,male,72999
389,Stefan,Wysocki,1996-02-23,male,73000
390,Tomasz,Wysocki,1996-05-20,male,73001
391,Paulina,Wysocka,1997-12-21,female,73002
392,Monika,Wysocka,1995-01-23,female,73003
393,Aleksandra,Wysocka,1997-06-17,female,73004
394,Kinga,Wysocka,1996-09-17,female,73005
395,Karolina,Wysocka,1996-12-28,female,73006
396,Joanna,Wysocka,1996-09-13,female,73007
397,Martyna,Wysocka,1997-06-03,female,73008
398,Dominika,Wysocka,1996-12-11,female,73009
399,Sylwia,Wysocka,1996-03-29,female,73010
400,Danuta,Wysocka,1995-08-10,female,73011
